Index,Version ID,Version Name,Date
1,12312343,0.9.0,2006-08-26
2,12312342,0.9.6,2006-11-29
3,12312340,0.9.7,2007-04-27
4,12312341,1.0.0,2007-08-28
5,12312687,1.0.1,2007-11-09
6,12312846,1.0.2,2008-02-18
7,12312344,1.1.0,2008-05-22
8,12312969,1.0.3,2008-07-23
9,12313102,1.2.0,2008-08-12
10,12313624,2.0.0-M1,2009-01-29
11,12313328,1.2.1,2009-03-18
12,12313483,2.0.0-M2,2009-06-03
13,12314148,2.0.0-M3,2009-10-12
14,12313681,1.2.2,2010-01-18
15,12314149,2.0.0-beta,2010-01-28
16,12314802,2.0.0-beta2,2010-02-27
17,12314857,2.0.0-beta3,2010-03-29
18,12314019,2.0.0,2010-04-22
19,12314532,2.0.1,2010-08-30
20,12313301,1.0.4,2010-09-03
21,12314542,2.1.0,2011-02-21
22,12316191,2.1.1,2011-07-25
23,12315910,2.2.0,2012-02-20
24,12319943,2.2.1,2012-11-01
25,12314517,1.2.3,2013-04-17
26,12323356,2.2.2,2013-04-22
27,12319463,2.3.0,2013-11-24
28,12325298,2.4.0,2015-04-22
29,12332295,2.4.1,2016-02-21
30,12334871,2.4.2,2017-01-03
31,12338939,2.4.3,2018-06-12
32,12338127,3.0.0,2018-06-12
33,12343421,3.1.0,2019-04-14
34,12345232,3.1.1,2020-02-03
35,12346990,3.1.2,2020-07-13
36,12348547,3.2.0,2021-05-14
37,12350116,3.2.1,2022-02-03
38,12351466,3.2.2,2022-03-16
