Id,Size,Prob,NormProb,Actual
446,35,0.72,0.02057143,true
1385,38,0.77403843,0.020369433,true
483,50,0.99,0.0198,true
1017,26,0.49,0.018846154,false
611,43,0.80475,0.018715117,true
129,43,0.8,0.018604651,true
472,56,0.92,0.016428571,true
126,54,0.86,0.015925925,true
499,48,0.761,0.015854167,false
128,32,0.4959287,0.015497772,true
535,48,0.74154764,0.015448908,false
450,32,0.4616336,0.01442605,true
547,58,0.83183336,0.014341954,false
1381,69,0.93,0.0134782605,true
251,33,0.4423905,0.013405773,false
425,33,0.4423905,0.013405773,false
662,33,0.4423905,0.013405773,false
778,33,0.4423905,0.013405773,false
1050,33,0.4423905,0.013405773,false
1191,33,0.4423905,0.013405773,false
1256,33,0.4423905,0.013405773,false
1276,33,0.4423905,0.013405773,false
1322,33,0.4423905,0.013405773,false
1402,33,0.4423905,0.013405773,false
1433,33,0.4423905,0.013405773,false
1463,33,0.4423905,0.013405773,false
1524,33,0.4423905,0.013405773,false
605,70,0.93,0.013285714,true
594,36,0.44616666,0.012393518,false
609,71,0.86,0.012112676,true
1000,63,0.76,0.012063492,false
401,81,0.97,0.011975309,true
305,70,0.83508515,0.011929788,false
307,70,0.83508515,0.011929788,false
1573,47,0.5574524,0.011860689,false
1623,82,0.96,0.011707317,false
516,84,0.98,0.011666667,true
667,82,0.95,0.011585366,true
1326,68,0.76,0.011176471,true
999,43,0.47933334,0.011147287,false
461,76,0.835,0.010986842,false
823,76,0.8039524,0.01057832,true
61,39,0.40926716,0.010494029,false
62,39,0.40926716,0.010494029,false
63,39,0.40926716,0.010494029,false
78,39,0.40926716,0.010494029,false
87,39,0.40926716,0.010494029,false
263,39,0.40926716,0.010494029,false
555,39,0.40926716,0.010494029,false
934,39,0.40926716,0.010494029,false
935,39,0.40926716,0.010494029,false
998,39,0.40926716,0.010494029,false
1201,39,0.40926716,0.010494029,false
1386,39,0.40926716,0.010494029,false
1429,39,0.40926716,0.010494029,false
985,70,0.72,0.010285715,false
1569,76,0.75522554,0.009937178,true
663,76,0.7534232,0.009913463,false
489,47,0.4655,0.009904255,true
46,86,0.84,0.009767442,true
85,71,0.6751187,0.009508713,false
90,71,0.6751187,0.009508713,false
222,71,0.6751187,0.009508713,false
366,71,0.6751187,0.009508713,false
432,71,0.6751187,0.009508713,false
578,71,0.6751187,0.009508713,false
624,71,0.6751187,0.009508713,false
754,71,0.6751187,0.009508713,false
1127,71,0.6751187,0.009508713,false
1630,71,0.6751187,0.009508713,false
1664,71,0.6751187,0.009508713,false
1248,85,0.80472225,0.0094673205,true
1624,87,0.816,0.0093793105,false
180,66,0.61587614,0.009331456,false
266,66,0.61587614,0.009331456,false
271,66,0.61587614,0.009331456,false
341,66,0.61587614,0.009331456,false
426,66,0.61587614,0.009331456,false
757,66,0.61587614,0.009331456,false
1466,66,0.61587614,0.009331456,false
1525,66,0.61587614,0.009331456,false
1550,66,0.61587614,0.009331456,true
1606,66,0.61587614,0.009331456,false
452,36,0.33433333,0.009287037,true
1584,91,0.84055555,0.009236874,true
562,81,0.7352944,0.009077708,false
370,57,0.5088745,0.008927622,false
648,57,0.5088745,0.008927622,false
782,57,0.5088745,0.008927622,false
949,57,0.5088745,0.008927622,false
984,57,0.5088745,0.008927622,false
1097,57,0.5088745,0.008927622,false
1206,57,0.5088745,0.008927622,false
1218,57,0.5088745,0.008927622,false
1500,57,0.5088745,0.008927622,false
480,88,0.785,0.008920454,true
608,76,0.6706435,0.008824256,true
598,87,0.76,0.0087356325,false
187,104,0.8986111,0.008640491,false
1122,104,0.8986111,0.008640491,false
38,116,1.0,0.00862069,false
104,116,1.0,0.00862069,true
119,116,1.0,0.00862069,true
656,116,1.0,0.00862069,false
736,116,1.0,0.00862069,false
1038,116,1.0,0.00862069,false
1075,116,1.0,0.00862069,false
1106,116,1.0,0.00862069,true
1253,103,0.882,0.008563107,false
1044,69,0.59,0.008550725,true
89,74,0.6325734,0.00854829,false
170,74,0.6325734,0.00854829,false
742,74,0.6325734,0.00854829,false
891,74,0.6325734,0.00854829,false
983,74,0.6325734,0.00854829,false
1608,74,0.6325734,0.00854829,false
541,84,0.7175,0.008541667,false
634,116,0.99,0.008534483,false
761,108,0.91861904,0.008505732,false
781,108,0.91861904,0.008505732,false
545,48,0.40583333,0.008454861,false
1518,92,0.7751667,0.008425725,false
533,39,0.3275238,0.008398047,false
74,36,0.30191764,0.008386601,false
75,36,0.30191764,0.008386601,false
137,36,0.30191764,0.008386601,false
167,36,0.30191764,0.008386601,false
184,36,0.30191764,0.008386601,false
201,36,0.30191764,0.008386601,false
247,36,0.30191764,0.008386601,false
317,36,0.30191764,0.008386601,false
345,36,0.30191764,0.008386601,false
355,36,0.30191764,0.008386601,false
493,36,0.30191764,0.008386601,false
567,36,0.30191764,0.008386601,false
721,36,0.30191764,0.008386601,false
749,36,0.30191764,0.008386601,false
1082,36,0.30191764,0.008386601,false
1255,36,0.30191764,0.008386601,false
1269,36,0.30191764,0.008386601,false
1333,36,0.30191764,0.008386601,false
1338,36,0.30191764,0.008386601,false
1349,36,0.30191764,0.008386601,false
1419,36,0.30191764,0.008386601,false
1459,36,0.30191764,0.008386601,false
1024,79,0.66,0.00835443,false
378,76,0.6259882,0.008236687,false
552,76,0.6259882,0.008236687,false
783,76,0.6259882,0.008236687,false
921,76,0.6259882,0.008236687,false
992,76,0.6259882,0.008236687,false
1086,76,0.6259882,0.008236687,false
1232,76,0.6259882,0.008236687,false
1351,76,0.6259882,0.008236687,false
1399,76,0.6259882,0.008236687,false
1447,76,0.6259882,0.008236687,false
1547,76,0.6259882,0.008236687,true
1639,76,0.6259882,0.008236687,false
138,43,0.3525181,0.0081980955,false
202,43,0.3525181,0.0081980955,false
283,43,0.3525181,0.0081980955,false
424,43,0.3525181,0.0081980955,false
473,43,0.3525181,0.0081980955,false
488,43,0.3525181,0.0081980955,false
918,43,0.3525181,0.0081980955,false
968,43,0.3525181,0.0081980955,false
1036,43,0.3525181,0.0081980955,false
1175,43,0.3525181,0.0081980955,false
1234,43,0.3525181,0.0081980955,false
1363,43,0.3525181,0.0081980955,false
1496,43,0.3525181,0.0081980955,false
1498,43,0.3525181,0.0081980955,false
1536,43,0.3525181,0.0081980955,false
1537,43,0.3525181,0.0081980955,false
1548,43,0.3525181,0.0081980955,false
1591,43,0.3525181,0.0081980955,false
987,122,1.0,0.008196721,false
1610,88,0.71533334,0.008128788,false
280,90,0.7269286,0.008076984,false
284,90,0.7269286,0.008076984,false
122,56,0.4473985,0.007989259,false
253,56,0.4473985,0.007989259,false
331,56,0.4473985,0.007989259,false
333,56,0.4473985,0.007989259,false
523,56,0.4473985,0.007989259,false
550,56,0.4473985,0.007989259,false
620,56,0.4473985,0.007989259,false
630,56,0.4473985,0.007989259,false
969,56,0.4473985,0.007989259,false
982,56,0.4473985,0.007989259,false
1076,56,0.4473985,0.007989259,false
1136,56,0.4473985,0.007989259,false
1141,56,0.4473985,0.007989259,false
1226,56,0.4473985,0.007989259,false
1263,56,0.4473985,0.007989259,false
1295,56,0.4473985,0.007989259,false
1358,56,0.4473985,0.007989259,false
1373,56,0.4473985,0.007989259,false
203,81,0.64616466,0.007977341,false
205,81,0.64616466,0.007977341,false
225,81,0.64616466,0.007977341,false
236,81,0.64616466,0.007977341,false
529,81,0.64616466,0.007977341,true
741,81,0.64616466,0.007977341,false
748,81,0.64616466,0.007977341,false
779,81,0.64616466,0.007977341,false
1063,81,0.64616466,0.007977341,false
1492,81,0.64616466,0.007977341,false
1605,81,0.64616466,0.007977341,false
41,123,0.97725,0.007945122,false
666,48,0.37400883,0.0077918507,false
1003,81,0.63,0.007777778,true
542,38,0.29333332,0.0077192984,false
437,115,0.8868333,0.007711594,false
1583,74,0.56083333,0.007578829,true
13,132,1.0,0.007575758,false
402,132,1.0,0.007575758,false
1060,132,1.0,0.007575758,false
1554,132,1.0,0.007575758,false
275,117,0.88,0.0075213676,false
1480,117,0.88,0.0075213676,false
353,133,1.0,0.007518797,false
963,133,1.0,0.007518797,false
303,79,0.5935714,0.007513562,false
715,126,0.93958336,0.0074570104,false
1079,126,0.93958336,0.0074570104,false
1508,126,0.92,0.007301587,true
130,111,0.81,0.0072972975,true
1570,53,0.38467857,0.0072580865,false
109,136,0.98477274,0.0072409757,false
1595,136,0.98477274,0.0072409757,false
33,70,0.50280106,0.0071828724,false
359,70,0.50280106,0.0071828724,false
785,70,0.50280106,0.0071828724,false
990,70,0.50280106,0.0071828724,false
445,121,0.86,0.007107438,true
112,60,0.42415917,0.0070693195,false
140,60,0.42415917,0.0070693195,false
258,60,0.42415917,0.0070693195,false
351,60,0.42415917,0.0070693195,false
508,60,0.42415917,0.0070693195,true
549,60,0.42415917,0.0070693195,false
944,60,0.42415917,0.0070693195,false
1115,60,0.42415917,0.0070693195,false
1142,60,0.42415917,0.0070693195,false
1220,60,0.42415917,0.0070693195,false
1233,60,0.42415917,0.0070693195,false
1473,60,0.42415917,0.0070693195,false
1476,60,0.42415917,0.0070693195,false
1503,60,0.42415917,0.0070693195,false
1504,60,0.42415917,0.0070693195,false
1505,60,0.42415917,0.0070693195,false
1632,60,0.42415917,0.0070693195,false
494,116,0.82,0.0070689656,true
602,133,0.94,0.007067669,true
91,123,0.8666667,0.0070460704,true
99,128,0.9,0.00703125,true
1184,115,0.80583334,0.0070072464,true
6,65,0.4544854,0.006992083,false
157,65,0.4544854,0.006992083,false
216,65,0.4544854,0.006992083,false
221,65,0.4544854,0.006992083,false
717,65,0.4544854,0.006992083,false
734,65,0.4544854,0.006992083,false
760,65,0.4544854,0.006992083,false
884,65,0.4544854,0.006992083,false
890,65,0.4544854,0.006992083,false
924,65,0.4544854,0.006992083,true
1133,65,0.4544854,0.006992083,false
1169,65,0.4544854,0.006992083,false
1199,65,0.4544854,0.006992083,false
1240,65,0.4544854,0.006992083,false
1339,65,0.4544854,0.006992083,false
286,141,0.98,0.0069503547,true
767,140,0.97,0.0069285715,true
189,29,0.20067857,0.0069199507,false
93,122,0.84,0.006885246,true
1574,75,0.51,0.0068,true
601,137,0.93,0.0067883213,true
1168,143,0.97,0.0067832167,true
462,124,0.84,0.0067741936,false
186,84,0.56842214,0.0067669307,false
1188,84,0.56842214,0.0067669307,false
1390,84,0.56842214,0.0067669307,false
1439,84,0.56842214,0.0067669307,false
1564,84,0.56842214,0.0067669307,false
101,130,0.87,0.0066923075,true
820,138,0.915,0.0066304347,true
1316,150,0.99,0.0066,true
504,116,0.76,0.006551724,true
171,101,0.6545,0.006480198,false
229,101,0.6545,0.006480198,false
254,101,0.6545,0.006480198,false
442,101,0.6545,0.006480198,true
528,101,0.6545,0.006480198,false
939,101,0.6545,0.006480198,false
227,135,0.8734949,0.006470333,false
451,78,0.5,0.0064102565,true
1568,75,0.48,0.0064,true
80,89,0.5674091,0.006375383,false
159,89,0.5674091,0.006375383,false
293,89,0.5674091,0.006375383,false
334,89,0.5674091,0.006375383,false
672,89,0.5674091,0.006375383,false
1284,158,0.99,0.006265823,true
337,46,0.2877049,0.0062544546,false
338,46,0.2877049,0.0062544546,false
352,46,0.2877049,0.0062544546,false
363,46,0.2877049,0.0062544546,false
376,46,0.2877049,0.0062544546,false
377,46,0.2877049,0.0062544546,false
762,46,0.2877049,0.0062544546,false
1282,46,0.2877049,0.0062544546,false
1335,46,0.2877049,0.0062544546,false
1354,46,0.2877049,0.0062544546,false
1665,46,0.2877049,0.0062544546,false
86,64,0.4,0.00625,false
592,89,0.5555,0.006241573,false
753,135,0.84125215,0.0062314975,false
1539,135,0.84125215,0.0062314975,true
218,120,0.74285716,0.006190476,false
664,120,0.74285716,0.006190476,false
48,143,0.88,0.006153846,true
599,109,0.668381,0.0061319354,true
403,162,0.99,0.006111111,false
1586,126,0.77,0.006111111,true
534,164,1.0,0.0060975607,false
993,146,0.89,0.0060958904,true
185,63,0.38396177,0.0060946313,false
238,63,0.38396177,0.0060946313,false
421,63,0.38396177,0.0060946313,false
514,63,0.38396177,0.0060946313,false
655,63,0.38396177,0.0060946313,false
945,63,0.38396177,0.0060946313,false
1109,63,0.38396177,0.0060946313,false
1229,63,0.38396177,0.0060946313,false
1404,63,0.38396177,0.0060946313,false
1514,63,0.38396177,0.0060946313,false
548,79,0.48090583,0.006087416,false
744,79,0.48090583,0.006087416,false
784,79,0.48090583,0.006087416,false
1025,79,0.48090583,0.006087416,false
1493,79,0.48090583,0.006087416,false
595,94,0.57,0.0060638296,false
311,104,0.6305,0.0060625,false
583,152,0.92,0.0060526314,false
958,152,0.92,0.0060526314,false
438,62,0.37024277,0.005971658,false
108,94,0.5548444,0.0059025995,false
215,94,0.5548444,0.0059025995,false
373,94,0.5548444,0.0059025995,false
434,94,0.5548444,0.0059025995,true
1046,94,0.5548444,0.0059025995,false
1087,94,0.5548444,0.0059025995,false
1102,94,0.5548444,0.0059025995,false
1290,94,0.5548444,0.0059025995,false
1415,94,0.5548444,0.0059025995,false
1510,94,0.5548444,0.0059025995,false
1614,94,0.5548444,0.0059025995,false
1647,94,0.5548444,0.0059025995,true
323,112,0.6568323,0.005864574,false
623,112,0.6568323,0.005864574,false
1021,112,0.6568323,0.005864574,false
1120,112,0.6568323,0.005864574,false
1649,112,0.6568323,0.005864574,false
1590,124,0.72683334,0.005861559,true
174,91,0.53243,0.0058508795,false
981,91,0.53243,0.0058508795,true
1340,91,0.53243,0.0058508795,false
1440,91,0.53243,0.0058508795,false
411,151,0.88,0.0058278143,true
1114,167,0.96,0.005748503,true
21,110,0.6316804,0.005742549,false
1045,110,0.6316804,0.005742549,false
1642,110,0.6316804,0.005742549,false
1185,76,0.43255836,0.0056915577,true
564,67,0.38,0.005671642,false
